"Common.Name","Code","Group","spp.num","name","in_bbs_aou","in_bbs_name","in_bbs","bbs_english","order","family","genus","species","redlistCategory","redlistPopulationTrend"
"Osprey","OSPR","waterbirds",3640,"Osprey",TRUE,TRUE,TRUE,"Osprey","Accipitriformes","Pandionidae","Pandion","haliaetus","Least Concern","Increasing"
"Ovenbird","OVEN","eastern_forests",6740,"Ovenbird",TRUE,TRUE,TRUE,"Ovenbird","Passeriformes","Parulidae","Seiurus","aurocapilla","Least Concern","Stable"
"Pacific Golden-Plover","PAGP","waterbirds",2721,"Pacific Golden-Plover",TRUE,TRUE,TRUE,"Pacific Golden-Plover","Charadriiformes","Charadriidae","Pluvialis","fulva","Least Concern","Decreasing"
"Pacific Loon","PALO","waterbirds",100,"Pacific Loon",TRUE,TRUE,TRUE,"Pacific Loon","Gaviiformes","Gaviidae","Gavia","pacifica","Least Concern","Increasing"
"Pacific Wren","PAWR","western_forests",7221,"Pacific Wren",TRUE,TRUE,TRUE,"Pacific Wren","Passeriformes","Troglodytidae","Troglodytes","pacificus","Least Concern","Decreasing"
"Pacific-slope Flycatcher","PSFL","western_forests",4641,"Pacific-slope Flycatcher",TRUE,FALSE,TRUE,"(Pacific-slope Flycatcher) Western Flycatcher","Passeriformes","Tyrannidae","Empidonax","difficilis difficilis",NA,NA
"Painted Bunting","PABU","aridlands",6010,"Painted Bunting",TRUE,TRUE,TRUE,"Painted Bunting","Passeriformes","Cardinalidae","Passerina","ciris","Least Concern","Stable"
"Painted Redstart","PARE","subtropical_forests",6880,"Painted Redstart",TRUE,TRUE,TRUE,"Painted Redstart","Passeriformes","Parulidae","Myioborus","pictus","Least Concern","Decreasing"
"Palm Warbler","PAWA","boreal_forests",NA,NA,FALSE,TRUE,TRUE,"Palm Warbler","Passeriformes","Parulidae","Setophaga","palmarum","Least Concern","Increasing"
"Parasitic Jaeger","PAJA","coastal",370,"Parasitic Jaeger",TRUE,TRUE,TRUE,"Parasitic Jaeger","Charadriiformes","Stercorariidae","Stercorarius","parasiticus","Least Concern","Stable"
"Pectoral Sandpiper","PESA","waterbirds",2390,"Pectoral Sandpiper",TRUE,TRUE,TRUE,"Pectoral Sandpiper","Charadriiformes","Scolopacidae","Calidris","melanotos","Least Concern","Unknown"
"Pelagic Cormorant","PECO","coastal",1230,"Pelagic Cormorant",TRUE,TRUE,TRUE,"Pelagic Cormorant","Suliformes","Phalacrocoracidae","Urile","pelagicus","Least Concern","Decreasing"
"Peregrine Falcon","PEFA","generalists",3560,"Peregrine Falcon",TRUE,TRUE,TRUE,"Peregrine Falcon","Falconiformes","Falconidae","Falco","peregrinus","Least Concern","Increasing"
"Phainopepla","PHAI","aridlands",6200,"Phainopepla",TRUE,TRUE,TRUE,"Phainopepla","Passeriformes","Ptiliogonatidae","Phainopepla","nitens","Least Concern","Stable"
