"Common.Name","Code","Group","spp.num","name","in_bbs_aou","in_bbs_name","in_bbs","bbs_english","order","family","genus","species","redlistCategory","redlistPopulationTrend"
"Short-billed Dowitcher","SBDO","waterbirds",2310,"Short-billed Dowitcher",TRUE,TRUE,TRUE,"Short-billed Dowitcher","Charadriiformes","Scolopacidae","Limnodromus","griseus","Vulnerable","Decreasing"
"Short-eared Owl","SEOW","grasslands",3670,"Short-eared Owl",TRUE,TRUE,TRUE,"Short-eared Owl","Strigiformes","Strigidae","Asio","flammeus","Least Concern","Decreasing"
"Short-tailed Hawk","STHA","subtropical_forests",3440,"Short-tailed Hawk",TRUE,TRUE,TRUE,"Short-tailed Hawk","Accipitriformes","Accipitridae","Buteo","brachyurus","Least Concern","Stable"
"Smith's Longspur","SMLO","arctic",5370,"Smith's Longspur",TRUE,TRUE,TRUE,"Smith's Longspur","Passeriformes","Calcariidae","Calcarius","pictus","Least Concern","Unknown"
"Snail Kite","SNKI","marshlands",3300,"Snail Kite",TRUE,TRUE,TRUE,"Snail Kite","Accipitriformes","Accipitridae","Rostrhamus","sociabilis","Least Concern","Stable"
"Snow Bunting","SNBU","arctic",5340,"Snow Bunting",TRUE,TRUE,TRUE,"Snow Bunting","Passeriformes","Calcariidae","Plectrophenax","nivalis","Least Concern","Decreasing"
"Snow Goose","SNGO","waterbirds",1690,NA,TRUE,FALSE,TRUE,"Snow Goose (all forms)","Anseriformes","Anatidae","Anser","caerulescens","Least Concern","Increasing"
"Snowy Egret","SNEG","marshlands",1970,"Snowy Egret",TRUE,TRUE,TRUE,"Snowy Egret","Pelecaniformes","Ardeidae","Egretta","thula","Least Concern","Increasing"
"Snowy Owl","SNOW","arctic",3760,"Snowy Owl",TRUE,TRUE,TRUE,"Snowy Owl","Strigiformes","Strigidae","Bubo","scandiacus","Vulnerable","Decreasing"
"Snowy Plover","SNPL","coastal",2780,"Snowy Plover",TRUE,TRUE,TRUE,"Snowy Plover","Charadriiformes","Charadriidae","Anarhynchus","nivosus",NA,NA
"Solitary Sandpiper","SOSA","waterbirds",2560,"Solitary Sandpiper",TRUE,TRUE,TRUE,"Solitary Sandpiper","Charadriiformes","Scolopacidae","Tringa","solitaria","Least Concern","Unknown"
"Song Sparrow","SOSP","generalists",5810,"Song Sparrow",TRUE,TRUE,TRUE,"Song Sparrow","Passeriformes","Passerellidae","Melospiza","melodia","Least Concern","Decreasing"
"Sora","SORA","marshlands",2140,"Sora",TRUE,TRUE,TRUE,"Sora","Gruiformes","Rallidae","Porzana","carolina","Least Concern","Stable"
"Spectacled Eider","SPEI","coastal",1580,"Spectacled Eider",TRUE,TRUE,TRUE,"Spectacled Eider","Anseriformes","Anatidae","Somateria","fischeri","Near Threatened","Decreasing"
"Spot-breasted Oriole","SBOR","urban_suburban",NA,NA,FALSE,TRUE,TRUE,"Spot-breasted Oriole","Passeriformes","Icteridae","Icterus","pectoralis","Least Concern","Decreasing"
"Spotted Dove","SPDO","urban_suburban",3151,"Spotted Dove",TRUE,TRUE,TRUE,"Spotted Dove","Columbiformes","Columbidae","Streptopelia","chinensis",NA,NA
"Spotted Owl","SPOW","western_forests",3690,"Spotted Owl",TRUE,TRUE,TRUE,"Spotted Owl","Strigiformes","Strigidae","Strix","occidentalis","Near Threatened","Decreasing"
"Spotted Sandpiper","SPSA","waterbirds",2630,"Spotted Sandpiper",TRUE,TRUE,TRUE,"Spotted Sandpiper","Charadriiformes","Scolopacidae","Actitis","macularius","Least Concern","Stable"
"Spotted Towhee","SPTO","western_forests",5880,"Spotted Towhee",TRUE,TRUE,TRUE,"Spotted Towhee","Passeriformes","Passerellidae","Pipilo","maculatus","Least Concern","Stable"
"Sprague's Pipit","SPPI","grasslands",7000,"Sprague's Pipit",TRUE,TRUE,TRUE,"Sprague's Pipit","Passeriformes","Motacillidae","Anthus","spragueii","Vulnerable","Decreasing"
"Spruce Grouse","SPGR","boreal_forests",NA,NA,FALSE,TRUE,TRUE,"Spruce Grouse","Galliformes","Phasianidae","Canachites","canadensis","Least Concern","Increasing"
"Steller's Eider","STEI","coastal",1570,"Steller's Eider",TRUE,TRUE,TRUE,"Steller's Eider","Anseriformes","Anatidae","Polysticta","stelleri","Vulnerable","Decreasing"
"Steller's Jay","STJA","western_forests",4780,"Steller's Jay",TRUE,TRUE,TRUE,"Steller's Jay","Passeriformes","Corvidae","Cyanocitta","stelleri","Least Concern","Decreasing"
"Stilt Sandpiper","STSA","waterbirds",2330,"Stilt Sandpiper",TRUE,TRUE,TRUE,"Stilt Sandpiper","Charadriiformes","Scolopacidae","Calidris","himantopus","Near Threatened","Decreasing"
"Sulphur-bellied Flycatcher","SBFL","subtropical_forests",4510,"Sulphur-bellied Flycatcher",TRUE,TRUE,TRUE,"Sulphur-bellied Flycatcher","Passeriformes","Tyrannidae","Myiodynastes","luteiventris","Least Concern","Stable"
"Summer Tanager","SUTA","eastern_forests",6100,"Summer Tanager",TRUE,TRUE,TRUE,"Summer Tanager","Passeriformes","Cardinalidae","Piranga","rubra","Least Concern","Increasing"
"Surf Scoter","SUSC","coastal",1660,"Surf Scoter",TRUE,TRUE,TRUE,"Surf Scoter","Anseriformes","Anatidae","Melanitta","perspicillata","Least Concern","Decreasing"
"Surf Scoter","SUSC","waterbirds",1660,"Surf Scoter",TRUE,TRUE,TRUE,"Surf Scoter","Anseriformes","Anatidae","Melanitta","perspicillata","Least Concern","Decreasing"
"Surfbird","SURF","waterbirds",2820,"Surfbird",TRUE,TRUE,TRUE,"Surfbird","Charadriiformes","Scolopacidae","Calidris","virgata","Least Concern","Decreasing"
"Swainson's Hawk","SWHA","grasslands",3420,"Swainson's Hawk",TRUE,TRUE,TRUE,"Swainson's Hawk","Accipitriformes","Accipitridae","Buteo","swainsoni","Least Concern","Increasing"
"Swainson's Thrush","SWTH","boreal_forests",7580,"Swainson's Thrush",TRUE,TRUE,TRUE,"Swainson's Thrush","Passeriformes","Turdidae","Catharus","ustulatus","Least Concern","Stable"
"Swainson's Warbler","SWWA","eastern_forests",6380,"Swainson's Warbler",TRUE,TRUE,TRUE,"Swainson's Warbler","Passeriformes","Parulidae","Limnothlypis","swainsonii","Least Concern","Increasing"
"Swallow-tailed Kite","STKI","subtropical_forests",3270,"Swallow-tailed Kite",TRUE,TRUE,TRUE,"Swallow-tailed Kite","Accipitriformes","Accipitridae","Elanoides","forficatus","Least Concern","Unknown"
"Swamp Sparrow","SWSP","marshlands",5840,"Swamp Sparrow",TRUE,TRUE,TRUE,"Swamp Sparrow","Passeriformes","Passerellidae","Melospiza","georgiana","Least Concern","Increasing"
"Tennessee Warbler","TEWA","boreal_forests",6470,"Tennessee Warbler",TRUE,TRUE,TRUE,"Tennessee Warbler","Passeriformes","Parulidae","Leiothlypis","peregrina","Least Concern","Decreasing"
"Thick-billed Kingbird","TBKI","subtropical_forests",4451,"Thick-billed Kingbird",TRUE,TRUE,TRUE,"Thick-billed Kingbird","Passeriformes","Tyrannidae","Tyrannus","crassirostris","Least Concern","Unknown"
"Thick-billed Murre","TBMU","coastal",310,"Thick-billed Murre",TRUE,TRUE,TRUE,"Thick-billed Murre","Charadriiformes","Alcidae","Uria","lomvia","Least Concern","Increasing"
"Townsend's Solitaire","TOSO","western_forests",7540,"Townsend's Solitaire",TRUE,TRUE,TRUE,"Townsend's Solitaire","Passeriformes","Turdidae","Myadestes","townsendi","Least Concern","Stable"
"Townsend's Warbler","TOWA","western_forests",6680,"Townsend's Warbler",TRUE,TRUE,TRUE,"Townsend's Warbler","Passeriformes","Parulidae","Setophaga","townsendi","Least Concern","Decreasing"
"Tree Swallow","TRES","generalists",6140,"Tree Swallow",TRUE,TRUE,TRUE,"Tree Swallow","Passeriformes","Hirundinidae","Tachycineta","bicolor","Least Concern","Decreasing"
"Tricolored Blackbird","TRBL","marshlands",5000,"Tricolored Blackbird",TRUE,TRUE,TRUE,"Tricolored Blackbird","Passeriformes","Icteridae","Agelaius","tricolor","Endangered","Decreasing"
"Tricolored Heron","TRHE","marshlands",1990,"Tricolored Heron",TRUE,TRUE,TRUE,"Tricolored Heron","Pelecaniformes","Ardeidae","Egretta","tricolor","Least Concern","Decreasing"
"Tropical Kingbird","TRKI","aridlands",4460,"Tropical Kingbird",TRUE,TRUE,TRUE,"Tropical Kingbird","Passeriformes","Tyrannidae","Tyrannus","melancholicus","Least Concern","Increasing"
"Tropical Parula","TRPA","subtropical_forests",6490,"Tropical Parula",TRUE,TRUE,TRUE,"Tropical Parula","Passeriformes","Parulidae","Setophaga","pitiayumi","Least Concern","Decreasing"
"Trumpeter Swan","TRUS","waterbirds",1810,"Trumpeter Swan",TRUE,TRUE,TRUE,"Trumpeter Swan","Anseriformes","Anatidae","Cygnus","buccinator","Least Concern","Increasing"
"Tufted Titmouse","TUTI","eastern_forests",7310,"Tufted Titmouse",TRUE,TRUE,TRUE,"Tufted Titmouse","Passeriformes","Paridae","Baeolophus","bicolor","Least Concern","Stable"
"Tundra Swan","TUSW","waterbirds",NA,NA,FALSE,TRUE,TRUE,"Tundra Swan","Anseriformes","Anatidae","Cygnus","columbianus","Least Concern","Stable"
"Turkey Vulture","TUVU","generalists",3250,"Turkey Vulture",TRUE,TRUE,TRUE,"Turkey Vulture","Cathartiformes","Cathartidae","Cathartes","aura","Least Concern","Stable"
"Upland Sandpiper","UPSA","grasslands",2610,"Upland Sandpiper",TRUE,TRUE,TRUE,"Upland Sandpiper","Charadriiformes","Scolopacidae","Bartramia","longicauda","Least Concern","Increasing"
"Varied Bunting","VABU","aridlands",6000,"Varied Bunting",TRUE,TRUE,TRUE,"Varied Bunting","Passeriformes","Cardinalidae","Passerina","versicolor","Least Concern","Stable"
"Varied Thrush","VATH","western_forests",7630,"Varied Thrush",TRUE,TRUE,TRUE,"Varied Thrush","Passeriformes","Turdidae","Ixoreus","naevius","Least Concern","Decreasing"
"Vaux's Swift","VASW","western_forests",4240,"Vaux's Swift",TRUE,TRUE,TRUE,"Vaux's Swift","Apodiformes","Apodidae","Chaetura","vauxi","Least Concern","Decreasing"
"Veery","VEER","eastern_forests",7560,"Veery",TRUE,TRUE,TRUE,"Veery","Passeriformes","Turdidae","Catharus","fuscescens","Least Concern","Decreasing"
"Verdin","VERD","aridlands",7460,"Verdin",TRUE,TRUE,TRUE,"Verdin","Passeriformes","Remizidae","Auriparus","flaviceps","Least Concern","Decreasing"
"Vermilion Flycatcher","VEFL","aridlands",4710,"Vermilion Flycatcher",TRUE,TRUE,TRUE,"Vermilion Flycatcher","Passeriformes","Tyrannidae","Pyrocephalus","rubinus","Least Concern","Increasing"
"Vesper Sparrow","VESP","grasslands",5400,"Vesper Sparrow",TRUE,TRUE,TRUE,"Vesper Sparrow","Passeriformes","Passerellidae","Pooecetes","gramineus","Least Concern","Decreasing"
"Violet-green Swallow","VGSW","western_forests",6150,"Violet-green Swallow",TRUE,TRUE,TRUE,"Violet-green Swallow","Passeriformes","Hirundinidae","Tachycineta","thalassina","Least Concern","Decreasing"
"Virginia Rail","VIRA","marshlands",2120,"Virginia Rail",TRUE,TRUE,TRUE,"Virginia Rail","Gruiformes","Rallidae","Rallus","limicola","Least Concern","Stable"
"Virginia's Warbler","VIWA","western_forests",6440,"Virginia's Warbler",TRUE,TRUE,TRUE,"Virginia's Warbler","Passeriformes","Parulidae","Leiothlypis","virginiae","Least Concern","Decreasing"
"Wandering Tattler","WATA","waterbirds",2590,"Wandering Tattler",TRUE,TRUE,TRUE,"Wandering Tattler","Charadriiformes","Scolopacidae","Tringa","incana","Least Concern","Unknown"
"Warbling Vireo","WAVI","generalists",6270,"Warbling Vireo",TRUE,TRUE,TRUE,"Warbling Vireo","Passeriformes","Vireonidae","Vireo","gilvus","Least Concern","Increasing"
"Western Bluebird","WEBL","western_forests",7670,"Western Bluebird",TRUE,TRUE,TRUE,"Western Bluebird","Passeriformes","Turdidae","Sialia","mexicana","Least Concern","Increasing"
"Western Grebe","WEGR","marshlands",10,"Western Grebe",TRUE,TRUE,TRUE,"Western Grebe","Podicipediformes","Podicipedidae","Aechmophorus","occidentalis","Least Concern","Stable"
"Western Gull","WEGU","coastal",490,"Western Gull",TRUE,TRUE,TRUE,"Western Gull","Charadriiformes","Laridae","Larus","occidentalis","Least Concern","Increasing"
"Western Kingbird","WEKI","grasslands",4470,"Western Kingbird",TRUE,TRUE,TRUE,"Western Kingbird","Passeriformes","Tyrannidae","Tyrannus","verticalis","Least Concern","Decreasing"
"Western Meadowlark","WEME","grasslands",5011,"Western Meadowlark",TRUE,TRUE,TRUE,"Western Meadowlark","Passeriformes","Icteridae","Sturnella","neglecta","Least Concern","Decreasing"
"Western Sandpiper","WESA","waterbirds",2470,"Western Sandpiper",TRUE,TRUE,TRUE,"Western Sandpiper","Charadriiformes","Scolopacidae","Calidris","mauri","Least Concern","Decreasing"
"Western Screech-Owl","WESO","western_forests",3732,"Western Screech-Owl",TRUE,TRUE,TRUE,"Western Screech-Owl","Strigiformes","Strigidae","Megascops","kennicottii","Least Concern","Decreasing"
"Western Tanager","WETA","western_forests",6070,"Western Tanager",TRUE,TRUE,TRUE,"Western Tanager","Passeriformes","Cardinalidae","Piranga","ludoviciana","Least Concern","Increasing"
"Western Wood-Pewee","WEWP","western_forests",4620,"Western Wood-Pewee",TRUE,TRUE,TRUE,"Western Wood-Pewee","Passeriformes","Tyrannidae","Contopus","sordidulus","Least Concern","Decreasing"
"Whimbrel","WHIM","waterbirds",2650,"Whimbrel",TRUE,TRUE,TRUE,"Whimbrel","Charadriiformes","Scolopacidae","Numenius","phaeopus","Least Concern","Decreasing"
"Whiskered Screech-Owl","WHSO","subtropical_forests",3731,"Whiskered Screech-Owl",TRUE,TRUE,TRUE,"Whiskered Screech-Owl","Strigiformes","Strigidae","Megascops","trichopsis","Least Concern","Decreasing"
"White Ibis","WHIB","marshlands",1840,"White Ibis",TRUE,TRUE,TRUE,"White Ibis","Pelecaniformes","Threskiornithidae","Eudocimus","albus","Least Concern","Stable"
"White-breasted Nuthatch","WBNU","eastern_forests",7270,"White-breasted Nuthatch",TRUE,TRUE,TRUE,"White-breasted Nuthatch","Passeriformes","Sittidae","Sitta","carolinensis","Least Concern","Stable"
"White-crowned Pigeon","WCPI","coastal",3140,"White-crowned Pigeon",TRUE,TRUE,TRUE,"White-crowned Pigeon","Columbiformes","Columbidae","Patagioenas","leucocephala","Near Threatened","Decreasing"
"White-crowned Sparrow","WCSP","generalists",5540,"White-crowned Sparrow",TRUE,TRUE,TRUE,"White-crowned Sparrow","Passeriformes","Passerellidae","Zonotrichia","leucophrys","Least Concern","Stable"
"White-eyed Vireo","WEVI","eastern_forests",6310,"White-eyed Vireo",TRUE,TRUE,TRUE,"White-eyed Vireo","Passeriformes","Vireonidae","Vireo","griseus","Least Concern","Increasing"
"White-faced Ibis","WFIB","marshlands",1870,"White-faced Ibis",TRUE,TRUE,TRUE,"White-faced Ibis","Pelecaniformes","Threskiornithidae","Plegadis","chihi","Least Concern","Increasing"
"White-headed Woodpecker","WHWO","western_forests",3990,"White-headed Woodpecker",TRUE,TRUE,TRUE,"White-headed Woodpecker","Piciformes","Picidae","Dryobates","albolarvatus",NA,NA
"White-rumped Sandpiper","WRSA","waterbirds",2400,"White-rumped Sandpiper",TRUE,TRUE,TRUE,"White-rumped Sandpiper","Charadriiformes","Scolopacidae","Calidris","fuscicollis","Vulnerable","Decreasing"
"White-tailed Hawk","WTHA","grasslands",3410,"White-tailed Hawk",TRUE,TRUE,TRUE,"White-tailed Hawk","Accipitriformes","Accipitridae","Geranoaetus","albicaudatus","Least Concern","Unknown"
"White-tailed Kite","WTKI","aridlands",3280,"White-tailed Kite",TRUE,TRUE,TRUE,"White-tailed Kite","Accipitriformes","Accipitridae","Elanus","leucurus","Least Concern","Decreasing"
"White-throated Sparrow","WTSP","boreal_forests",5580,"White-throated Sparrow",TRUE,TRUE,TRUE,"White-throated Sparrow","Passeriformes","Passerellidae","Zonotrichia","albicollis","Least Concern","Decreasing"
"White-throated Swift","WTSW","aridlands",4250,"White-throated Swift",TRUE,TRUE,TRUE,"White-throated Swift","Apodiformes","Apodidae","Aeronautes","saxatalis","Least Concern","Decreasing"
"White-tipped Dove","WTDO","subtropical_forests",3180,"White-tipped Dove",TRUE,TRUE,TRUE,"White-tipped Dove","Columbiformes","Columbidae","Leptotila","verreauxi","Least Concern","Stable"
"White-winged Crossbill","WWCR","boreal_forests",5220,"White-winged Crossbill",TRUE,TRUE,TRUE,"White-winged Crossbill","Passeriformes","Fringillidae","Loxia","leucoptera","Least Concern","Stable"
"White-winged Dove","WWDO","aridlands",3190,"White-winged Dove",TRUE,TRUE,TRUE,"White-winged Dove","Columbiformes","Columbidae","Zenaida","asiatica","Least Concern","Increasing"
"White-winged Scoter","WWSC","waterbirds",1650,"White-winged Scoter",TRUE,TRUE,TRUE,"White-winged Scoter","Anseriformes","Anatidae","Melanitta","deglandi","Least Concern","Decreasing"
"Whooping Crane","WHCR","waterbirds",2040,"Whooping Crane",TRUE,TRUE,TRUE,"Whooping Crane","Gruiformes","Gruidae","Grus","americana","Endangered","Increasing"
"Wild Turkey","WITU","generalists",NA,NA,FALSE,TRUE,TRUE,"Wild Turkey","Galliformes","Phasianidae","Meleagris","gallopavo","Least Concern","Increasing"
"Willet","WILL","coastal",2580,"Willet",TRUE,TRUE,TRUE,"Willet","Charadriiformes","Scolopacidae","Tringa","semipalmata","Least Concern","Decreasing"
"Willet","WILL","waterbirds",2580,"Willet",TRUE,TRUE,TRUE,"Willet","Charadriiformes","Scolopacidae","Tringa","semipalmata","Least Concern","Decreasing"
"Williamson's Sapsucker","WISA","western_forests",4040,"Williamson's Sapsucker",TRUE,TRUE,TRUE,"Williamson's Sapsucker","Piciformes","Picidae","Sphyrapicus","thyroideus","Least Concern","Decreasing"
"Willow Flycatcher","WIFL","western_forests",4660,"Willow Flycatcher",TRUE,TRUE,TRUE,"Willow Flycatcher","Passeriformes","Tyrannidae","Empidonax","traillii","Least Concern","Decreasing"
"Willow Ptarmigan","WIPT","arctic",NA,NA,FALSE,TRUE,TRUE,"Willow Ptarmigan","Galliformes","Phasianidae","Lagopus","lagopus","Least Concern","Decreasing"
"Wilson's Phalarope","WIPH","marshlands",2240,"Wilson's Phalarope",TRUE,TRUE,TRUE,"Wilson's Phalarope","Charadriiformes","Scolopacidae","Phalaropus","tricolor",NA,NA
"Wilson's Plover","WIPL","coastal",2800,"Wilson's Plover",TRUE,TRUE,TRUE,"Wilson's Plover","Charadriiformes","Charadriidae","Anarhynchus","wilsonia",NA,NA
"Wilson's Snipe","WISN","marshlands",2300,"Wilson's Snipe",TRUE,TRUE,TRUE,"Wilson's Snipe","Charadriiformes","Scolopacidae","Gallinago","delicata","Least Concern","Increasing"
"Wilson's Warbler","WIWA","western_forests",6850,"Wilson's Warbler",TRUE,TRUE,TRUE,"Wilson's Warbler","Passeriformes","Parulidae","Cardellina","pusilla","Least Concern","Decreasing"
"Winter Wren","WIWR","eastern_forests",7220,"Winter Wren",TRUE,TRUE,TRUE,"unid. Pacific Wren / Winter Wren","Passeriformes","Troglodytidae","Troglodytes","pacificus / hiemalis",NA,NA
"Wood Duck","WODU","waterbirds",1440,"Wood Duck",TRUE,TRUE,TRUE,"Wood Duck","Anseriformes","Anatidae","Aix","sponsa","Least Concern","Increasing"
"Wood Stork","WOST","marshlands",1880,"Wood Stork",TRUE,TRUE,TRUE,"Wood Stork","Ciconiiformes","Ciconiidae","Mycteria","americana","Least Concern","Unknown"
"Wood Thrush","WOTH","eastern_forests",7550,"Wood Thrush",TRUE,TRUE,TRUE,"Wood Thrush","Passeriformes","Turdidae","Hylocichla","mustelina","Least Concern","Decreasing"
"Woodhouse's Scrub-Jay","WOSJ","western_forests",NA,NA,FALSE,TRUE,TRUE,"Woodhouse's Scrub-Jay","Passeriformes","Corvidae","Aphelocoma","woodhouseii",NA,NA
"Worm-eating Warbler","WEWA","eastern_forests",6390,"Worm-eating Warbler",TRUE,TRUE,TRUE,"Worm-eating Warbler","Passeriformes","Parulidae","Helmitheros","vermivorum","Least Concern","Increasing"
"Wrentit","WREN","aridlands",7420,"Wrentit",TRUE,TRUE,TRUE,"Wrentit","Passeriformes","Sylviidae","Chamaea","fasciata","Least Concern","Decreasing"
"Yellow Rail","YERA","marshlands",2150,"Yellow Rail",TRUE,TRUE,TRUE,"Yellow Rail","Gruiformes","Rallidae","Coturnicops","noveboracensis","Least Concern","Decreasing"
"Yellow Warbler","YEWA","boreal_forests",6520,"Yellow Warbler",TRUE,TRUE,TRUE,"Yellow Warbler","Passeriformes","Parulidae","Setophaga","petechia","Least Concern","Decreasing"
"Yellow-bellied Flycatcher","YBFL","boreal_forests",4630,"Yellow-bellied Flycatcher",TRUE,TRUE,TRUE,"Yellow-bellied Flycatcher","Passeriformes","Tyrannidae","Empidonax","flaviventris","Least Concern","Increasing"
"Yellow-bellied Sapsucker","YBSA","eastern_forests",4020,"Yellow-bellied Sapsucker",TRUE,TRUE,TRUE,"Yellow-bellied Sapsucker","Piciformes","Picidae","Sphyrapicus","varius","Least Concern","Increasing"
"Yellow-billed Cuckoo","YBCU","eastern_forests",3870,"Yellow-billed Cuckoo",TRUE,TRUE,TRUE,"Yellow-billed Cuckoo","Cuculiformes","Cuculidae","Coccyzus","americanus","Least Concern","Decreasing"
"Yellow-billed Loon","YBLO","waterbirds",80,"Yellow-billed Loon",TRUE,TRUE,TRUE,"Yellow-billed Loon","Gaviiformes","Gaviidae","Gavia","adamsii","Near Threatened","Decreasing"
"Yellow-billed Magpie","YBMA","western_forests",4760,"Yellow-billed Magpie",TRUE,TRUE,TRUE,"Yellow-billed Magpie","Passeriformes","Corvidae","Pica","nuttalli",NA,NA
"Yellow-breasted Chat","YBCH","eastern_forests",6830,"Yellow-breasted Chat",TRUE,TRUE,TRUE,"Yellow-breasted Chat","Passeriformes","Icteriidae","Icteria","virens","Least Concern","Decreasing"
"Yellow-crowned Night-Heron","YCNH","marshlands",2030,"Yellow-crowned Night-Heron",TRUE,FALSE,TRUE,"Yellow-crowned Night Heron","Pelecaniformes","Ardeidae","Nyctanassa","violacea","Least Concern","Stable"
"Yellow-eyed Junco","YEJU","subtropical_forests",5700,"Yellow-eyed Junco",TRUE,TRUE,TRUE,"Yellow-eyed Junco","Passeriformes","Passerellidae","Junco","phaeonotus","Least Concern","Stable"
"Yellow-footed Gull","YFGU","coastal",491,"Yellow-footed Gull",FALSE,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA
"Yellow-headed Blackbird","YHBL","marshlands",4970,"Yellow-headed Blackbird",TRUE,TRUE,TRUE,"Yellow-headed Blackbird","Passeriformes","Icteridae","Xanthocephalus","xanthocephalus","Least Concern","Stable"
"Yellow-rumped Warbler","YRWA","boreal_forests",6556,NA,TRUE,FALSE,TRUE,"Yellow-rumped Warbler (all forms)","Passeriformes","Parulidae","Setophaga","coronata","Least Concern","Stable"
"Yellow-throated Vireo","YTVI","eastern_forests",6280,"Yellow-throated Vireo",TRUE,TRUE,TRUE,"Yellow-throated Vireo","Passeriformes","Vireonidae","Vireo","flavifrons","Least Concern","Increasing"
"Yellow-throated Warbler","YTWA","eastern_forests",6630,"Yellow-throated Warbler",TRUE,TRUE,TRUE,"Yellow-throated Warbler","Passeriformes","Parulidae","Setophaga","dominica","Least Concern","Increasing"
"Zone-tailed Hawk","ZTHA","western_forests",3400,"Zone-tailed Hawk",TRUE,TRUE,TRUE,"Zone-tailed Hawk","Accipitriformes","Accipitridae","Buteo","albonotatus","Least Concern","Stable"
