"Common.Name","Code","Group","spp.num","name","in_bbs_aou","in_bbs_name","in_bbs","bbs_english","order","family","genus","species"
"Cassin's Kingbird","CAKI","aridlands",4480,"Cassin's Kingbird",TRUE,TRUE,TRUE,"Cassin's Kingbird","Passeriformes","Tyrannidae","Tyrannus","vociferans"
"Cassin's Sparrow","CASP","grasslands",5780,"Cassin's Sparrow",TRUE,TRUE,TRUE,"Cassin's Sparrow","Passeriformes","Passerellidae","Peucaea","cassinii"
"Cassin's Vireo","CAVI","western_forests",6292,"Cassin's Vireo",TRUE,TRUE,TRUE,"Plumbeous Vireo","Passeriformes","Vireonidae","Vireo","plumbeus"
"Cattle Egret","CAEG","waterbirds",2001,"Cattle Egret",TRUE,FALSE,TRUE,"Western Cattle-Egret","Pelecaniformes","Ardeidae","Ardea","ibis"
"Cave Swallow","CASW","aridlands",6121,"Cave Swallow",TRUE,TRUE,TRUE,"Cave Swallow","Passeriformes","Hirundinidae","Petrochelidon","fulva"
"Cedar Waxwing","CEDW","generalists",6190,"Cedar Waxwing",TRUE,TRUE,TRUE,"Cedar Waxwing","Passeriformes","Bombycillidae","Bombycilla","cedrorum"
"Cerulean Warbler","CERW","eastern_forests",6580,"Cerulean Warbler",TRUE,TRUE,TRUE,"Cerulean Warbler","Passeriformes","Parulidae","Setophaga","cerulea"
"Chestnut-backed Chickadee","CBCH","western_forests",7410,"Chestnut-backed Chickadee",TRUE,TRUE,TRUE,"Chestnut-backed Chickadee","Passeriformes","Paridae","Poecile","rufescens"
"Chestnut-collared Longspur","CCLO","grasslands",5380,"Chestnut-collared Longspur",TRUE,TRUE,TRUE,"Chestnut-collared Longspur","Passeriformes","Calcariidae","Calcarius","ornatus"
"Chestnut-sided Warbler","CSWA","eastern_forests",6590,"Chestnut-sided Warbler",TRUE,TRUE,TRUE,"Chestnut-sided Warbler","Passeriformes","Parulidae","Setophaga","pensylvanica"
"Chihuahuan Raven","CHRA","aridlands",4870,"Chihuahuan Raven",TRUE,TRUE,TRUE,"Chihuahuan Raven","Passeriformes","Corvidae","Corvus","cryptoleucus"
"Chimney Swift","CHSW","eastern_forests",4230,"Chimney Swift",TRUE,TRUE,TRUE,"Chimney Swift","Apodiformes","Apodidae","Chaetura","pelagica"
"Chipping Sparrow","CHSP","generalists",5600,"Chipping Sparrow",TRUE,TRUE,TRUE,"Chipping Sparrow","Passeriformes","Passerellidae","Spizella","passerina"
"Chuck-will's-widow","CWWI","eastern_forests",4160,"Chuck-will's-widow",TRUE,TRUE,TRUE,"Chuck-will's-widow","Caprimulgiformes","Caprimulgidae","Antrostomus","carolinensis"
"Chukar","CHUK","aridlands",NA,NA,FALSE,TRUE,TRUE,"Chukar","Galliformes","Phasianidae","Alectoris","chukar"
"Cinnamon Teal","CITE","marshlands",1410,"Cinnamon Teal",TRUE,TRUE,TRUE,"Cinnamon Teal","Anseriformes","Anatidae","Spatula","cyanoptera"
"Clapper Rail","CLRA","coastal",2110,"Clapper Rail",TRUE,TRUE,TRUE,"Clapper Rail","Gruiformes","Rallidae","Rallus","crepitans"
"Clark's Grebe","CLGR","marshlands",11,"Clark's Grebe",TRUE,TRUE,TRUE,"Clark's Grebe","Podicipediformes","Podicipedidae","Aechmophorus","clarkii"
"Clark's Nutcracker","CLNU","western_forests",4910,"Clark's Nutcracker",TRUE,TRUE,TRUE,"Clark's Nutcracker","Passeriformes","Corvidae","Nucifraga","columbiana"
"Clay-colored Sparrow","CCSP","grasslands",5610,"Clay-colored Sparrow",TRUE,TRUE,TRUE,"Clay-colored Sparrow","Passeriformes","Passerellidae","Spizella","pallida"
"Cliff Swallow","CLSW","generalists",6120,"Cliff Swallow",TRUE,TRUE,TRUE,"Cliff Swallow","Passeriformes","Hirundinidae","Petrochelidon","pyrrhonota"
"Common Eider","COEI","coastal",1590,"Common Eider",TRUE,TRUE,TRUE,"Common Eider","Anseriformes","Anatidae","Somateria","mollissima"
"Common Gallinule","COGA","marshlands",2190,"Common Gallinule",TRUE,TRUE,TRUE,"Common Gallinule","Gruiformes","Rallidae","Gallinula","galeata"
"Common Goldeneye","COGO","waterbirds",1510,"Common Goldeneye",TRUE,TRUE,TRUE,"Common Goldeneye","Anseriformes","Anatidae","Bucephala","clangula"
"Common Grackle","COGR","eastern_forests",5110,"Common Grackle",TRUE,TRUE,TRUE,"Common Grackle","Passeriformes","Icteridae","Quiscalus","quiscula"
"Common Ground-Dove","COGD","aridlands",3200,"Common Ground-Dove",TRUE,FALSE,TRUE,"Common Ground Dove","Columbiformes","Columbidae","Columbina","passerina"
"Common Loon","COLO","waterbirds",70,"Common Loon",TRUE,TRUE,TRUE,"Common Loon","Gaviiformes","Gaviidae","Gavia","immer"
"Common Merganser","COME","waterbirds",1290,"Common Merganser",TRUE,TRUE,TRUE,"Common Merganser","Anseriformes","Anatidae","Mergus","merganser"
"Common Murre","COMU","coastal",300,"Common Murre",TRUE,TRUE,TRUE,"Common Murre","Charadriiformes","Alcidae","Uria","aalge"
"Common Myna","COMY","urban_suburban",4932,"Common Myna",TRUE,TRUE,TRUE,"Common Myna","Passeriformes","Sturnidae","Acridotheres","tristis"
"Common Nighthawk","CONI","generalists",4200,"Common Nighthawk",TRUE,TRUE,TRUE,"Common Nighthawk","Caprimulgiformes","Caprimulgidae","Chordeiles","minor"
"Common Pauraque","COPA","subtropical_forests",4190,"Common Pauraque",TRUE,TRUE,TRUE,"Common Pauraque","Caprimulgiformes","Caprimulgidae","Nyctidromus","albicollis"
"Common Poorwill","COPO","aridlands",4180,"Common Poorwill",TRUE,TRUE,TRUE,"Common Poorwill","Caprimulgiformes","Caprimulgidae","Phalaenoptilus","nuttallii"
"Common Raven","CORA","generalists",4860,"Common Raven",TRUE,TRUE,TRUE,"Common Raven","Passeriformes","Corvidae","Corvus","corax"
"Common Redpoll","CORE","arctic",5280,"Common Redpoll",TRUE,FALSE,TRUE,"(Common Redpoll) Redpoll","Passeriformes","Fringillidae","Acanthis","flammea flammea"
"Common Tern","COTE","waterbirds",700,"Common Tern",TRUE,TRUE,TRUE,"Common Tern","Charadriiformes","Laridae","Sterna","hirundo"
"Common Yellowthroat","COYE","generalists",6810,"Common Yellowthroat",TRUE,TRUE,TRUE,"Common Yellowthroat","Passeriformes","Parulidae","Geothlypis","trichas"
"Connecticut Warbler","CONW","boreal_forests",6780,"Connecticut Warbler",TRUE,TRUE,TRUE,"Connecticut Warbler","Passeriformes","Parulidae","Oporornis","agilis"
"Cooper's Hawk","COHA","generalists",3330,"Cooper's Hawk",TRUE,TRUE,TRUE,"Cooper's Hawk","Accipitriformes","Accipitridae","Accipiter","cooperii"
"Cordilleran Flycatcher","COFL","western_forests",4640,"Cordilleran Flycatcher",TRUE,FALSE,TRUE,"(Cordilleran Flycatcher) Western Flycatcher","Passeriformes","Tyrannidae","Empidonax","difficilis occidentalis"
"Costa's Hummingbird","COHU","aridlands",4300,"Costa's Hummingbird",TRUE,TRUE,TRUE,"Costa's Hummingbird","Apodiformes","Trochilidae","Calypte","costae"
"Couch's Kingbird","COKI","subtropical_forests",4461,"Couch's Kingbird",TRUE,TRUE,TRUE,"Couch's Kingbird","Passeriformes","Tyrannidae","Tyrannus","couchii"
"Crested Caracara","CRCA","aridlands",3620,"Crested Caracara",TRUE,TRUE,TRUE,"Crested Caracara","Falconiformes","Falconidae","Caracara","plancus"
"Crissal Thrasher","CRTH","aridlands",7120,"Crissal Thrasher",TRUE,TRUE,TRUE,"Crissal Thrasher","Passeriformes","Mimidae","Toxostoma","crissale"
"Curve-billed Thrasher","CBTH","aridlands",7070,"Curve-billed Thrasher",TRUE,TRUE,TRUE,"Curve-billed Thrasher","Passeriformes","Mimidae","Toxostoma","curvirostre"
"Dark-eyed Junco","DEJU","western_forests",5677,NA,TRUE,FALSE,TRUE,"Dark-eyed Junco (all forms)","Passeriformes","Passerellidae","Junco","hyemalis"
"Dickcissel","DICK","grasslands",6040,"Dickcissel",TRUE,TRUE,TRUE,"Dickcissel","Passeriformes","Cardinalidae","Spiza","americana"
