"species","species_code","model","mean","q2.5","q5","q95","q97.5","excludes_zero_90","excludes_zero_95","ci_conclusion_changes"
"Limpkin","LIMP","anthro",0.916422070395565,-0.226092841,-0.0343011148,1.864465765,2.06110498,FALSE,FALSE,FALSE
"Lincoln's Sparrow","LISP","anthro",-1.97762815005797,-3.3110933,-3.10144574,-0.8364304225,-0.617416670500001,TRUE,TRUE,FALSE
"Little Blue Heron","LBHE","anthro",1.02779761075512,0.41819570275,0.510869487,1.550470785,1.653763825,TRUE,TRUE,FALSE
"Loggerhead Shrike","LOSH","anthro",0.0303922169015544,-0.3062647555,-0.2491758415,0.31408439,0.3666645475,FALSE,FALSE,FALSE
"Long-billed Curlew","LBCU","anthro",-0.393426545430332,-1.1463320425,-1.031976065,0.240063704,0.36232547225,FALSE,FALSE,FALSE
"Long-billed Thrasher","LBTH","anthro",-0.47660229533802,-1.4660489225,-1.31232526,0.3591277475,0.532770279,FALSE,FALSE,FALSE
"Long-eared Owl","LEOW","anthro",-0.950154801512185,-2.3713961375,-2.13033601,0.223151274,0.448269172499999,FALSE,FALSE,FALSE
"Louisiana Waterthrush","LOWA","anthro",-2.20833774505,-2.6389360075,-2.57058051,-1.854564135,-1.7934656375,TRUE,TRUE,FALSE
"Lucy's Warbler","LUWA","anthro",-0.484520881149162,-2.058785315,-1.831059175,0.896147518999999,1.1350973175,FALSE,FALSE,FALSE
"MacGillivray's Warbler","MGWA","anthro",-2.6748407969125,-3.4768056825,-3.33439765,-2.01879802,-1.89193145,TRUE,TRUE,FALSE
"Magnolia Warbler","MAWA","anthro",-4.6888099919125,-5.64781384,-5.49723759,-3.85468537,-3.6772339225,TRUE,TRUE,FALSE
"Mallard","MALL","anthro",1.848811414375,1.5572119325,1.601928855,2.09434113,2.148436525,TRUE,TRUE,FALSE
"Marbled Godwit","MAGO","anthro",0.900393837871425,-0.012866040925,0.135006722,1.642943235,1.7951350725,TRUE,FALSE,TRUE
"Marbled Murrelet","MAMU","anthro",-0.679254634856649,-2.330626575,-2.074385765,0.693803525499999,0.951726085,FALSE,FALSE,FALSE
"Marsh Wren","MAWR","anthro",0.384374654955128,-0.26279912575,-0.1574513045,0.9423093855,1.0298366625,FALSE,FALSE,FALSE
"McCown's Longspur","MCLO","anthro",0.343828823483767,-1.2732210125,-0.98558386,1.670481685,1.92595752,FALSE,FALSE,FALSE
"Merlin","MERL","anthro",-0.27033492877157,-0.81221298225,-0.730136301,0.1844652935,0.27336784725,FALSE,FALSE,FALSE
"Mexican Jay","MEJA","anthro",0.0679998799134475,-1.8935772675,-1.599036165,1.752474775,2.0775320325,FALSE,FALSE,FALSE
"Mississippi Kite","MIKI","anthro",-0.00234038813956359,-0.46220775775,-0.393715458,0.391452479,0.46277525625,FALSE,FALSE,FALSE
"Montezuma Quail","MONQ","anthro",-0.09771538040821,-2.0625702525,-1.725407905,1.50700512,1.83195536,FALSE,FALSE,FALSE
"Mottled Duck","MODU","anthro",0.405159325179496,-0.50121112475,-0.3533713715,1.13595759,1.27276236,FALSE,FALSE,FALSE
"Mountain Bluebird","MOBL","anthro",-1.0462988264363,-1.8408378475,-1.71942195,-0.380515642000001,-0.260032793250001,TRUE,TRUE,FALSE
"Mountain Chickadee","MOCH","anthro",-2.8030641619375,-3.755179785,-3.59441467,-2.01656385,-1.8650394725,TRUE,TRUE,FALSE
"Mountain Plover","MOPL","anthro",-0.203028097319274,-1.05467148,-0.90735996,0.5129999845,0.64959389325,FALSE,FALSE,FALSE
"Mountain Quail","MOUQ","anthro",-0.983334340798482,-2.2413397925,-2.05652003,0.123232644999999,0.352235914999999,FALSE,FALSE,FALSE
"Mourning Dove","MODO","anthro",1.604738949125,1.484444165,1.503142575,1.707120935,1.72563417,TRUE,TRUE,FALSE
"Mourning Warbler","MOWA","anthro",-2.2012141534925,-2.9386301625,-2.821735215,-1.588836545,-1.4881693375,TRUE,TRUE,FALSE
"Muscovy Duck","MUDU","anthro",1.14718409923794,-0.4075498575,-0.175822614,2.43193292,2.6891557525,FALSE,FALSE,FALSE
"Mute Swan","MUSW","anthro",-0.0206349397929693,-1.274947575,-1.086150175,1.02767251,1.2173295125,FALSE,FALSE,FALSE
"Nashville Warbler","NAWA","anthro",-3.3869700000875,-4.22076021,-4.087059815,-2.667418225,-2.5461250025,TRUE,TRUE,FALSE
"Nelson's Sparrow","NESP","anthro",-0.79105538908128,-1.79855932,-1.64354184,0.0260947809999997,0.1841901995,FALSE,FALSE,FALSE
"Neotropic Cormorant","NECO","anthro",0.287356609478989,-0.92655242825,-0.734355911,1.27146837,1.4798823775,FALSE,FALSE,FALSE
"Northern Beardless-Tyrannulet","NOBT","anthro",-0.926494919070739,-2.4769988825,-2.22094376,0.299611651999999,0.54068003475,FALSE,FALSE,FALSE
"Northern Bobwhite","NOBO","anthro",0.600327971231625,0.28899168075,0.340760375,0.8584286605,0.916738634,TRUE,TRUE,FALSE
"Northern Cardinal","NOCA","anthro",0.4010635947375,0.24642107975,0.2693831265,0.5316381345,0.55556910275,TRUE,TRUE,FALSE
"Northern Flicker","NOFL","anthro",-0.734389804275,-0.913606352,-0.8875462305,-0.57995247,-0.5505409215,TRUE,TRUE,FALSE
"Northern Goshawk","NOGO","anthro",-1.08592218677491,-2.3044289375,-2.099129025,-0.126842246000002,0.0524701718249997,TRUE,FALSE,TRUE
"Northern Harrier","NOHA","anthro",0.87218097171625,0.587246971,0.6407584155,1.10145413,1.146463865,TRUE,TRUE,FALSE
"Northern Mockingbird","NOMO","anthro",1.5538960694625,1.3323279925,1.367993735,1.74025139,1.7716476875,TRUE,TRUE,FALSE
